Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
0.286,0.224,241.760,1.400,0.000,1.000,0.000
1.266,0.000,233.530,5.400,0.000,1.000,17.000
0.216,0.000,243.970,0.800,0.000,0.000,0.000
3.934,0.346,240.830,16.400,40.000,0.000,18.000
0.258,0.000,244.670,1.000,0.000,0.000,0.000
0.328,0.116,247.210,1.400,0.000,0.000,0.000
1.648,0.074,237.760,6.800,0.000,3.000,17.000
0.284,0.198,237.900,1.400,0.000,1.000,0.000
0.320,0.098,245.630,1.200,0.000,2.000,0.000
0.464,0.164,238.560,2.000,0.000,0.000,0.000
0.412,0.230,240.450,2.000,0.000,2.000,1.000
0.434,0.124,245.400,1.800,0.000,0.000,1.000
1.370,0.198,240.390,5.600,0.000,1.000,18.000
2.638,0.000,235.540,11.200,0.000,0.000,17.000
2.342,0.204,238.230,9.800,0.000,0.000,0.000
0.362,0.086,241.750,1.600,0.000,0.000,1.000
0.084,0.000,244.330,0.200,0.000,0.000,0.000
0.296,0.094,242.320,1.200,0.000,0.000,0.000
0.304,0.114,246.050,1.400,0.000,0.000,0.000
0.182,0.000,232.920,1.000,0.000,0.000,0.000
1.296,0.054,235.970,5.400,0.000,0.000,17.000
2.484,0.050,240.240,10.200,0.000,0.000,18.000
1.402,0.078,242.550,5.800,0.000,0.000,18.000
1.286,0.000,239.250,5.200,0.000,0.000,18.000
1.908,0.090,241.330,7.800,1.000,2.000,18.000
1.066,0.372,245.430,4.600,0.000,2.000,0.000
0.294,0.058,239.540,1.200,0.000,2.000,0.000
0.250,0.000,240.230,1.000,0.000,0.000,0.000
1.498,0.074,242.450,6.200,0.000,0.000,19.000
1.026,0.238,242.260,4.200,2.000,0.000,1.000
0.410,0.078,244.460,1.600,0.000,0.000,0.000
0.096,0.000,239.770,0.400,0.000,0.000,1.000
0.222,0.000,240.000,1.000,0.000,0.000,0.000
0.400,0.174,243.120,1.800,0.000,1.000,1.000
0.590,0.138,240.200,2.400,0.000,0.000,0.000
1.404,0.050,241.960,5.800,0.000,0.000,18.000
3.512,0.000,239.410,14.600,0.000,37.000,18.000
0.360,0.222,243.690,1.800,0.000,0.000,1.000
3.560,0.122,245.580,14.400,0.000,1.000,18.000
1.568,0.256,245.300,6.400,0.000,0.000,19.000
0.334,0.132,246.240,1.400,0.000,1.000,0.000
0.240,0.118,236.200,1.000,0.000,0.000,0.000
0.128,0.000,243.010,0.600,0.000,0.000,1.000
0.158,0.122,240.820,0.800,0.000,0.000,1.000
0.380,0.118,243.660,1.600,0.000,0.000,0.000
0.412,0.082,244.610,1.800,0.000,2.000,0.000
0.174,0.100,237.000,0.800,0.000,0.000,0.000
1.392,0.096,242.240,5.600,0.000,0.000,18.000
1.352,0.272,242.560,5.800,0.000,9.000,0.000
1.362,0.000,245.690,5.400,0.000,0.000,19.000
3.272,0.254,238.670,13.800,0.000,30.000,18.000
0.226,0.000,237.380,1.000,0.000,0.000,0.000
1.124,0.000,234.390,4.800,0.000,0.000,17.000
0.394,0.200,239.510,1.800,0.000,0.000,1.000
0.288,0.220,236.480,1.400,0.000,1.000,0.000
0.280,0.166,244.350,1.200,0.000,0.000,0.000
1.600,0.196,242.890,6.600,0.000,1.000,18.000
0.316,0.000,240.160,1.400,0.000,0.000,0.000
1.002,0.000,242.400,4.000,0.000,0.000,1.000
1.564,0.208,244.160,6.400,0.000,0.000,18.000
0.426,0.256,243.240,2.000,0.000,1.000,1.000
3.776,0.190,239.350,15.800,0.000,1.000,0.000
0.562,0.226,242.530,2.400,0.000,1.000,0.000
1.212,0.106,241.560,5.800,0.000,0.000,1.000
1.836,0.000,240.640,7.600,0.000,0.000,18.000
0.344,0.334,239.380,2.000,0.000,2.000,0.000
0.748,0.076,242.870,3.200,0.000,0.000,0.000
1.720,0.068,239.790,7.200,0.000,0.000,18.000
3.746,0.312,235.890,15.800,37.000,0.000,17.000
0.384,0.232,239.320,1.800,0.000,2.000,0.000
0.604,0.112,242.780,2.800,0.000,0.000,0.000
3.568,0.166,236.360,15.200,1.000,36.000,17.000
0.260,0.046,245.420,1.000,0.000,0.000,0.000
1.412,0.306,238.030,6.000,0.000,2.000,18.000
0.306,0.090,239.720,1.200,0.000,0.000,1.000
1.226,0.000,240.390,5.000,0.000,0.000,19.000
0.170,0.000,242.070,0.800,0.000,0.000,1.000
0.282,0.140,242.260,1.400,0.000,1.000,1.000
2.130,0.000,239.630,9.200,0.000,0.000,18.000
1.890,0.170,234.600,8.000,0.000,0.000,17.000
0.416,0.000,244.060,1.600,0.000,0.000,0.000
0.324,0.144,242.190,1.400,0.000,0.000,0.000
1.412,0.078,238.600,5.800,0.000,0.000,17.000
1.412,0.070,240.400,5.800,0.000,1.000,1.000
2.054,0.052,240.130,8.400,0.000,0.000,17.000
2.152,0.372,240.640,9.000,0.000,0.000,18.000
2.732,0.078,236.680,11.600,0.000,1.000,17.000
1.384,0.084,243.320,5.600,0.000,0.000,18.000
2.162,0.310,239.730,9.200,0.000,22.000,11.000
1.420,0.192,236.040,6.000,0.000,2.000,17.000
0.232,0.000,242.310,1.200,0.000,0.000,1.000
1.432,0.160,231.880,6.200,0.000,0.000,17.000
0.136,0.000,238.680,0.600,0.000,0.000,0.000
0.834,0.240,242.150,3.600,0.000,1.000,0.000
0.432,0.224,238.480,2.000,0.000,2.000,1.000
1.340,0.606,239.460,6.200,1.000,1.000,11.000
0.412,0.234,240.960,2.000,0.000,1.000,0.000
0.154,0.000,233.810,0.600,0.000,0.000,1.000
0.698,0.266,235.630,3.600,0.000,0.000,0.000
0.252,0.134,240.000,1.200,0.000,0.000,1.000
1.530,0.000,241.940,6.400,0.000,0.000,18.000
0.424,0.000,243.190,2.000,0.000,0.000,0.000
0.432,0.362,241.020,2.400,0.000,1.000,0.000
0.470,0.056,244.520,2.200,0.000,0.000,0.000
0.394,0.246,242.000,1.800,0.000,1.000,1.000
1.474,0.216,236.300,6.200,1.000,1.000,0.000
0.274,0.172,243.200,1.200,0.000,0.000,1.000
0.314,0.254,241.720,1.600,0.000,1.000,0.000
0.376,0.240,243.400,1.800,0.000,1.000,0.000
1.458,0.068,240.590,6.000,1.000,0.000,18.000
0.292,0.198,238.160,1.400,0.000,2.000,1.000
1.266,0.182,237.190,5.400,1.000,0.000,17.000
1.590,0.136,245.610,6.400,0.000,5.000,19.000
3.598,0.000,238.170,15.000,38.000,0.000,18.000
0.436,0.106,245.480,1.800,0.000,0.000,0.000
3.818,0.114,233.220,16.400,37.000,0.000,17.000
0.808,0.000,241.450,3.400,0.000,0.000,1.000
