Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type
2.99,3.02,0,70.36,100,Weekend,Sunday,Light_Load
29.95,24.37,0,77.57,100,Weekday,Thursday,Light_Load
3.56,0,9.86,100,33.96,Weekend,Saturday,Medium_Load
2.81,4.1,0,56.53,100,Weekend,Sunday,Light_Load
3.2,0,16.09,100,19.51,Weekend,Saturday,Light_Load
4.86,6.62,0,59.18,100,Weekday,Friday,Light_Load
3.85,3.24,0,76.51,100,Weekend,Sunday,Light_Load
29.23,23.15,0,78.39,100,Weekday,Thursday,Light_Load
3.64,6.98,0,46.24,100,Weekday,Tuesday,Light_Load
55.84,19.22,0,94.56,100,Weekday,Monday,Medium_Load
4.79,5.8,0,63.68,100,Weekend,Sunday,Light_Load
6.8,5.36,0,78.54,100,Weekday,Monday,Light_Load
3.17,5.47,0,50.14,100,Weekday,Wednesday,Light_Load
53.96,18.11,0,94.8,100,Weekday,Friday,Medium_Load
4.14,3.42,0.11,77.1,99.96,Weekday,Tuesday,Light_Load
69.16,37.15,0,88.09,100,Weekday,Friday,Light_Load
33.16,0,7.16,100,97.75,Weekday,Wednesday,Medium_Load
3.02,0,11.23,100,25.97,Weekend,Sunday,Light_Load
64.04,56.95,0,74.73,100,Weekday,Thursday,Maximum_Load
30.2,0.5,1.33,99.99,99.9,Weekend,Saturday,Medium_Load
3.78,0,19.19,100,19.33,Weekday,Monday,Medium_Load
128.56,45.4,0,94.29,100,Weekday,Friday,Maximum_Load
3.6,3.56,0,71.1,100,Weekday,Thursday,Light_Load
13.75,2.81,12.56,97.97,73.83,Weekday,Tuesday,Medium_Load
2.88,5.18,0,48.59,100,Weekday,Tuesday,Light_Load
59.11,29.38,0,89.55,100,Weekday,Monday,Maximum_Load
3.13,3.85,0,63.08,100,Weekday,Tuesday,Light_Load
2.88,5.4,0,47.06,100,Weekend,Sunday,Light_Load
3.38,0,16.24,100,20.38,Weekend,Saturday,Medium_Load
29.81,3.64,2.12,99.26,99.75,Weekend,Sunday,Medium_Load
3.85,4.18,0,67.75,100,Weekday,Monday,Light_Load
45.76,40.64,0,74.77,100,Weekday,Monday,Light_Load
3.1,2.66,0,75.89,100,Weekday,Thursday,Light_Load
2.77,4.5,0,52.42,100,Weekday,Monday,Light_Load
45.54,15.91,0,94.4,100,Weekday,Thursday,Medium_Load
41.18,11.02,0.43,96.6,99.99,Weekend,Saturday,Maximum_Load
74.38,32.15,0,91.79,100,Weekday,Tuesday,Medium_Load
67.68,36.18,0,88.19,100,Weekend,Saturday,Medium_Load
3.13,3.82,0,63.38,100,Weekday,Tuesday,Light_Load
2.84,0,11.66,100,23.66,Weekend,Sunday,Light_Load
51.34,9.76,0,98.24,100,Weekday,Friday,Maximum_Load
2.92,3.74,1.22,61.54,92.27,Weekday,Friday,Light_Load
4.57,0,17.35,100,25.47,Weekday,Tuesday,Medium_Load
2.95,4.43,0,55.43,100,Weekend,Saturday,Light_Load
3.96,0,6.52,100,51.91,Weekend,Saturday,Light_Load
4.46,4.25,0,72.39,100,Weekday,Thursday,Light_Load
101.16,42.91,0,92.06,100,Weekday,Tuesday,Maximum_Load
59.62,37.73,0,84.5,100,Weekday,Tuesday,Maximum_Load
88.99,30.96,0,94.45,100,Weekend,Saturday,Maximum_Load
3.67,1.84,10.91,89.39,31.88,Weekday,Friday,Medium_Load
3.1,2.92,0,72.79,100,Weekend,Saturday,Medium_Load
45.79,35.21,0,79.27,100,Weekday,Monday,Maximum_Load
42.66,27,0,84.5,100,Weekday,Monday,Medium_Load
5.76,0,17.14,100,31.85,Weekday,Tuesday,Medium_Load
3.67,6.62,0,48.49,100,Weekday,Friday,Light_Load
2.99,4.07,0,59.21,100,Weekend,Sunday,Light_Load
