Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption,Temperature,Humidity,Wind Speed
32985.14532,19396.74134,17623.27273,22.76,29.73,0.085
34737.64259,29803.00706,14417.28691,15.92,54.44,0.085
27894.68354,20808.51064,16458.79518,15.08,57.23,0.076
42476.93617,23634.14634,25089.67742,12.42,72.3,0.081
21341.14101,12006.10998,11531.63636,14.58,80.6,0.08
22043.5443,13200.0,14810.60241,14.99,69.14,0.074
32509.83051,18302.73556,15844.34171,11.16,70.8,0.08
21390.68852,13222.29102,10593.03644,19.21,89.4,4.923
37286.69202,30716.1706,15834.81393,14.66,65.92,0.075
24966.29508,15169.04025,14913.03644,14.2,81.6,0.079
35012.38938,24290.64449,12067.17058,23.9,64.15,0.264
22031.39241,13367.78116,14359.51807,13.68,82.4,0.074
40993.90728,25383.36798,24960.0,21.03,86.5,0.068
31081.36882,25539.12243,10130.13205,16.38,69.26,0.074
37475.16093,24276.24076,25140.56426,27.06,47.58,4.905
34004.74576,18893.61702,16938.45226,11.86,60.8,0.088
31434.89362,18815.85366,19358.70968,11.83,80.6,0.08
20806.08365,16193.92452,8608.883553,9.38,84.9,0.082
25724.74576,16599.3921,12434.65327,9.39,67.74,4.92
40676.02649,24754.67775,25095.87692,19.2,65.81,4.924
29593.84615,24604.95868,10039.51807,19.74,47.91,0.078
40256.07103,27416.26188,25453.54232,27.11,43.35,4.906
43334.80851,25452.43902,25368.3871,16.66,67.21,4.919
22710.50847,13437.08207,14090.29146,12.11,76.6,4.916
28532.09302,19507.59494,17442.67782,23.96,63.4,4.922
36511.89369,25906.32911,25654.8954,26.92,70.2,4.909
23753.84615,18628.5124,10704.57831,16.98,56.04,0.086
29393.22259,24421.51899,20226.27615,25.37,77.8,4.918
40137.72152,23463.82979,24659.27711,16.32,53.54,4.921
27061.13208,16540.23231,12669.59248,24.6,91.3,4.918
36605.32319,29736.72906,16595.43818,15.9,62.58,0.084
28723.28524,20269.48258,20752.85266,27.12,32.78,4.905
32156.27081,21945.93453,22540.43887,21.33,75.2,4.911
26361.13786,15426.97095,12214.46809,17.22,62.59,4.921
29421.53846,23920.66116,9351.325301,20.53,47.5,0.079
21937.64259,18815.5876,7398.79952,10.95,47.63,0.078
32795.23404,17517.07317,16751.6129,12.73,74.1,0.081
39572.42553,22971.95122,23945.80645,11.88,85.7,0.072
33358.97872,17989.02439,22000.64516,18.43,71.0,0.081
29146.22951,21287.9257,14936.35628,18.94,81.5,0.071
37782.01998,24568.95459,22877.49216,26.64,53.55,4.907
23321.87234,13591.46341,15044.51613,8.7,87.2,0.089
31248.78689,22662.5387,17431.57895,28.72,26.19,0.075
22989.58425,17626.55602,10282.79635,13.87,86.5,4.915
38666.44068,23409.11854,23317.86935,9.89,73.2,0.077
23550.37975,14341.64134,15452.53012,5.593,73.4,0.087
41058.30508,24583.58663,25390.31156,14.1,63.55,0.083
44655.75492,28508.71369,19392.58359,18.47,91.1,0.079
34256.20253,22030.39514,16736.38554,13.66,65.01,0.087
22097.56728,12926.27291,11112.72727,15.81,83.7,0.083
38153.84615,31804.95868,20483.85542,19.6,67.65,0.073
30387.8327,21728.13747,9334.933974,12.4,67.54,0.087
48349.47836,32449.41922,35757.74295,22.79,62.78,0.07
33902.99003,23962.02532,23901.58996,28.01,31.89,4.915
36369.18979,25496.51531,22721.00313,26.6,73.1,4.91
23827.69231,19156.61157,10502.16867,8.34,77.9,4.916
25978.90205,16097.35234,12904.72727,14.41,85.7,0.072
35151.7377,23238.39009,18002.91498,27.98,35.7,4.918
22905.76271,11799.3921,13679.27638,13.84,71.4,0.083
42875.76159,25286.07069,27323.07692,20.32,64.15,0.081
27729.55752,16693.97089,14032.27783,22.17,89.6,0.329
23467.11864,13203.64742,14454.99497,10.4,90.6,0.071
32486.15385,23950.41322,17459.27711,22.27,51.0,0.077
35402.0339,18700.30395,14848.64322,16.71,56.34,0.084
27697.69912,16881.08108,12208.37589,21.28,84.5,0.283
21648.81356,12813.37386,14373.94975,7.29,61.94,0.088
21024.93003,12167.41344,11287.27273,14.32,85.7,0.069
37893.74179,30902.48963,18703.95137,20.75,70.9,0.082
33498.30508,18725.83587,18345.16583,12.96,85.8,0.07
38971.09878,29822.59768,29413.9185,28.8,75.8,4.907
36103.72881,22570.21277,16811.09548,13.98,69.28,0.072
38670.63263,27484.68849,31189.46708,26.18,84.5,4.914
31538.36066,21302.78638,16481.29555,26.1,31.29,0.079
32898.46154,28178.92562,9172.048193,18.66,62.86,0.076
32030.76923,24887.60331,12566.74699,21.64,51.43,0.084
34231.89873,21552.58359,20830.84337,11.18,65.55,0.087
42615.04994,29503.2735,33554.85893,28.09,78.2,4.902
35013.44681,21106.09756,22465.16129,13.77,81.1,0.082
34451.68142,19167.56757,14685.3524,23.88,65.26,4.926
35650.76412,26643.03797,26859.91632,26.56,69.8,4.911
42824.88698,21684.31772,28509.09091,14.42,89.9,0.069
41512.82392,29954.43038,32553.64017,35.98,29.84,4.907
36044.60177,24444.07484,10825.74055,21.62,77.7,4.915
